val_loss,val_rmse,val_mape,val_rmse(m),val_mape(m),epoch,step,train_loss,train_rmse,train_mape,train_rmse(m),train_mape(m)
56.626220703125,7.419156074523926,519497.28125,8.312990188598633,57769.50390625,0,44,,,,,
,,,,,0,44,73.29631805419922,8.554078102111816,508188.9375,9.658869743347168,44981.52734375
44.476200103759766,6.568247318267822,360895.84375,7.4213995933532715,79632.2734375,1,89,,,,,
,,,,,1,89,58.36006164550781,7.634021282196045,458240.75,8.596393585205078,70804.1484375
33.359432220458984,5.652935028076172,180405.0,6.444111347198486,39361.58203125,2,134,,,,,
,,,,,2,134,46.22474670410156,6.789300441741943,288604.34375,7.700057029724121,68189.7109375
24.34632682800293,4.80193567276001,77125.4375,5.531111717224121,17684.888671875,3,179,,,,,
,,,,,3,179,33.885780334472656,5.813998222351074,117393.96875,6.651776313781738,26296.921875
19.875782012939453,4.305563926696777,56704.8984375,4.989340782165527,15083.2607421875,4,224,,,,,
,,,,,4,224,26.31703758239746,5.124977111816406,63695.74609375,5.895389080047607,15357.5185546875
16.57453727722168,3.913425922393799,42242.5,4.561319828033447,13105.3466796875,5,269,,,,,
,,,,,5,269,21.675025939941406,4.650773525238037,46872.703125,5.370262622833252,13271.7041015625
14.572737693786621,3.6519739627838135,37710.2265625,4.276529788970947,13699.7744140625,6,314,,,,,
,,,,,6,314,18.598787307739258,4.30964469909668,36711.1875,4.992041110992432,12709.91796875
13.070438385009766,3.4480397701263428,37842.57421875,4.054609775543213,15524.44140625,7,359,,,,,
,,,,,7,359,16.32288932800293,4.037179946899414,32122.08984375,4.690793514251709,12189.73046875
11.964306831359863,3.2750542163848877,30524.435546875,3.8685712814331055,12737.1162109375,8,404,,,,,
,,,,,8,404,14.622440338134766,3.821018934249878,27913.212890625,4.45191764831543,11671.5166015625
11.446534156799316,3.187502145767212,30780.025390625,3.775876998901367,12001.4404296875,9,449,,,,,
,,,,,9,449,13.352740287780762,3.6516473293304443,26172.869140625,4.264513969421387,11605.1083984375
10.463883399963379,3.042365312576294,27335.306640625,3.6156747341156006,10178.3544921875,10,494,,,,,
,,,,,10,494,12.331746101379395,3.50962233543396,25425.177734375,4.107423305511475,11474.9482421875
9.999201774597168,2.9672365188598633,27560.16015625,3.5348358154296875,10997.8994140625,11,539,,,,,
,,,,,11,539,11.47605037689209,3.3850278854370117,25571.75,3.968395948410034,11608.216796875
9.807707786560059,2.9134464263916016,26681.388671875,3.4789581298828125,12607.3076171875,12,584,,,,,
,,,,,12,584,10.598733901977539,3.252610445022583,24985.3125,3.823827028274536,11277.7890625
9.5513277053833,2.8839807510375977,30175.140625,3.443509817123413,15485.8896484375,13,629,,,,,
,,,,,13,629,9.982185363769531,3.156102418899536,25129.86328125,3.716082811355591,11044.7431640625
9.837545394897461,2.9030516147613525,24688.408203125,3.4679982662200928,12202.55078125,14,674,,,,,
,,,,,14,674,9.456673622131348,3.070647716522217,24852.353515625,3.6226954460144043,10999.5478515625
10.518997192382812,2.9984426498413086,25378.646484375,3.5669238567352295,11899.998046875,15,719,,,,,
,,,,,15,719,9.019546508789062,3.0003697872161865,24281.19921875,3.5458905696868896,10657.2314453125
9.96613597869873,2.904282808303833,28341.234375,3.4665980339050293,14546.44140625,16,764,,,,,
,,,,,16,764,8.642807960510254,2.935853958129883,23961.7109375,3.475090503692627,10825.20703125
9.101605415344238,2.7716033458709717,21059.876953125,3.3265464305877686,8608.7470703125,17,809,,,,,
,,,,,17,809,8.248947143554688,2.8682854175567627,23067.361328125,3.4014062881469727,9994.2578125
8.880002975463867,2.7461800575256348,28497.419921875,3.2949140071868896,10240.2646484375,18,854,,,,,
,,,,,18,854,8.044498443603516,2.8331804275512695,23220.1171875,3.362703800201416,10140.646484375
9.759881973266602,2.86285400390625,23652.935546875,3.421625852584839,11256.9228515625,19,899,,,,,
,,,,,19,899,7.855014324188232,2.7991814613342285,24133.4609375,3.3238449096679688,10291.7216796875
10.075004577636719,2.9154980182647705,25834.0078125,3.4825210571289062,13381.00390625,20,944,,,,,
,,,,,20,944,7.571274757385254,2.748551607131958,21795.28125,3.2704901695251465,10059.0947265625
9.889123916625977,2.8830394744873047,30200.0078125,3.4384241104125977,14094.125,21,989,,,,,
,,,,,21,989,7.311411380767822,2.700467348098755,23182.162109375,3.2184290885925293,9925.2626953125
9.973180770874023,2.888214111328125,30325.4375,3.446265935897827,11263.2587890625,22,1034,,,,,
,,,,,22,1034,7.19570779800415,2.6792750358581543,23495.794921875,3.193458318710327,10090.390625
8.46628475189209,2.6857306957244873,25825.8828125,3.2259771823883057,9108.1884765625,23,1079,,,,,
,,,,,23,1079,6.935027599334717,2.6293582916259766,22313.400390625,3.1408441066741943,9545.2685546875
9.736801147460938,2.8311731815338135,24845.287109375,3.388936996459961,10987.037109375,24,1124,,,,,
,,,,,24,1124,6.733503341674805,2.5914645195007324,22092.99609375,3.1010637283325195,9842.505859375
9.034491539001465,2.765733003616333,32360.7421875,3.309493064880371,12661.603515625,25,1169,,,,,
,,,,,25,1169,6.711324214935303,2.587003707885742,22391.333984375,3.095085859298706,9882.166015625
8.367737770080566,2.6543397903442383,25566.048828125,3.193681478500366,9536.982421875,26,1214,,,,,
,,,,,26,1214,6.495703220367432,2.5447280406951904,23360.2265625,3.049912929534912,9886.509765625
8.676441192626953,2.6684608459472656,24758.791015625,3.2136294841766357,9300.52734375,27,1259,,,,,
,,,,,27,1259,6.452509880065918,2.536243200302124,23587.486328125,3.0400030612945557,9858.1533203125
9.0276460647583,2.75836443901062,24655.455078125,3.3083314895629883,10118.75,28,1304,,,,,
,,,,,28,1304,6.144482612609863,2.4764909744262695,21940.2265625,2.9784843921661377,9828.4091796875
8.512123107910156,2.648228883743286,24827.666015625,3.192902088165283,11033.6123046875,29,1349,,,,,
,,,,,29,1349,6.276957988739014,2.5015718936920166,23316.505859375,3.000868558883667,10748.046875
8.666719436645508,2.682037591934204,26874.951171875,3.227116107940674,11017.326171875,30,1394,,,,,
,,,,,30,1394,6.127612590789795,2.4724996089935303,23496.318359375,2.971440076828003,10683.33984375
8.684514999389648,2.6836905479431152,23308.580078125,3.2318129539489746,10255.9384765625,31,1439,,,,,
,,,,,31,1439,5.739863872528076,2.393188953399658,21972.611328125,2.890498161315918,9673.5771484375
8.801297187805176,2.6817800998687744,21641.787109375,3.2312331199645996,8212.7490234375,32,1484,,,,,
,,,,,32,1484,5.65676212310791,2.374943971633911,21237.21875,2.8703811168670654,9796.85546875
8.979883193969727,2.7234976291656494,21287.845703125,3.2735867500305176,8839.9228515625,33,1529,,,,,
,,,,,33,1529,5.503267765045166,2.3428966999053955,21862.052734375,2.8363335132598877,9655.021484375
9.734688758850098,2.8325181007385254,20771.80859375,3.3917465209960938,7397.55078125,34,1574,,,,,
,,,,,34,1574,5.353553771972656,2.3103880882263184,20814.119140625,2.8027286529541016,9655.6123046875
9.666876792907715,2.832496166229248,34434.1328125,3.390754222869873,11365.080078125,35,1619,,,,,
,,,,,35,1619,5.415153980255127,2.323723077774048,21361.865234375,2.815091133117676,9616.2666015625
9.576667785644531,2.8092565536499023,18590.708984375,3.365568161010742,7348.470703125,36,1664,,,,,
,,,,,36,1664,5.10402250289917,2.2560319900512695,20901.0859375,2.7453622817993164,9477.6875
9.098676681518555,2.752960443496704,20798.783203125,3.3046865463256836,8379.7255859375,37,1709,,,,,
,,,,,37,1709,5.106820583343506,2.2570745944976807,21199.388671875,2.7455663681030273,9571.5517578125
12.321507453918457,3.238138198852539,20366.732421875,3.8215792179107666,9040.142578125,38,1754,,,,,
,,,,,38,1754,4.983885288238525,2.230112314224243,20511.5078125,2.7172486782073975,9092.06640625
8.986089706420898,2.732595682144165,24958.482421875,3.2838916778564453,9848.9833984375,39,1799,,,,,
,,,,,39,1799,5.259226322174072,2.2897696495056152,23695.76953125,2.7770068645477295,10035.599609375
